date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:11	2711/2711	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Jan%202023%2007:58:19%20GMT	https://jorgehrdina.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjorgehrdina.com.au%2Fproject%2Fvaucluse%2F	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/oembed/1.0/embede5f5.json	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2007:58:20%20GMT	https://jorgehrdina.com.au/?p=75	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/indexe839.html	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:12	2813/2813	---MCZ	200	added ('OK')	text/xml	date:Mon,%2016%20Jan%202023%2007:58:20%20GMT	https://jorgehrdina.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjorgehrdina.com.au%2Fproject%2Fvaucluse%2F&format=xml	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/oembed/1.0/embed2681	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2007:58:21%20GMT	https://jorgehrdina.com.au/project/vaucluse/%22https://jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-banner-img.jpg%22	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/project/vaucluse/_https_/jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-banner-img.jpg_	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:12	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jan%202023%2007:58:21%20GMT	https://jorgehrdina.com.au/project/vaucluse/https:/jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-banner-img.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/project/vaucluse/https_/jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-banner-img.jpg	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:15	377962/377962	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c28-5c46a%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-slider-img-5.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-slider-img-5.jpg	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:15	756376/756376	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-b8a98%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/Vaucluse-2.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/Vaucluse-2.jpg	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:16	928629/928629	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-e2b75%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/Vaucluse-1.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/Vaucluse-1.jpg	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:16	725959/725959	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c28-b13c7%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-slider-img-2.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-slider-img-2.jpg	(from https://jorgehrdina.com.au/project/vaucluse/)
10:59:17	343792/343792	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c28-53ef0%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-slider-img-4.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/vaucluse-slider-img-4.jpg	(from https://jorgehrdina.com.au/project/vaucluse/)
